Indicator,PUBLISH STATES,Year,Age Group,Sex,Region,Causes,Display Value,Numeric,Low,High,Comments
Deaths per 100 000 population,Published,2000,50-69,Female,Africa Region,Colon and rectum cancers,11,11.31,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Trichuriasis,0,0.00,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,Migraine,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Diarrhoeal diseases,61,61.23,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Collective violence and legal intervention,1,0.95,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Oesophagus cancer,4,3.86,,,
Deaths per 100 000 population,Published,2000,All ages (total),Both sexes,Africa Region,Musculoskeletal diseases,2,2.41,,,
Deaths per 100 000 population,Published,2000,05-14,Male,Africa Region,Dental caries,0,0.00,,,
Deaths per 100 000 population,Published,2000,05-14,Female,Africa Region,Protein-energy malnutrition,26,25.65,,,
Deaths per 100 000 population,Published,2000,All ages (total),Male,Africa Region,"Lymphomas, multiple myeloma",4,4.33,,,
Deaths per 100 000 population,Published,2011,50-69,Male,Africa Region,Childhood-cluster diseases,0,0.32,,,
Deaths per 100 000 population,Published,2011,All ages (total),Male,Africa Region,Alcohol use disorders,0,0.33,,,
Deaths per 100 000 population,Published,2011,All ages (total),Female,Africa Region,Malaria,61,61.02,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Neurological conditions,11,10.92,,,
Deaths per 100 000 population,Published,2000,All ages (total),Female,Africa Region,Parasitic and vector diseases,122,121.70,,,
Deaths per 100 000 population,Published,2011,50-69,Female,Africa Region,Vitamin A deficiency,0,0.00,,,
Deaths per 100 000 population,Published,2011,05-14,Male,Africa Region,Respiratory diseases,4,4.26,,,
Deaths per 100 000 population,Published,2000,30-49,Female,Africa Region,Cervix uteri cancer,19,19.10,,,
Deaths per 100 000 population,Published,2011,All ages (total),Both sexes,Africa Region,Hypertensive heart disease,9,9.30,,,
Deaths per 100 000 population,Published,2011,30-49,Male,Africa Region,Road injury,43,43.03,,,
