Indicator,PUBLISH STATES,Year,WHO region,World Bank income group,Country,Sex,Display Value,Numeric,Low,High,Comments
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,United Arab Emirates,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Austria,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Belgium,Female,79,79,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Belgium,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,High-income,Bahrain,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Brunei Darussalam,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Americas,High-income,Canada,Female,82,82,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Cyprus,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Czech Republic,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Czech Republic,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Germany,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Estonia,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Finland,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,United Kingdom,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Africa,High-income,Equatorial Guinea,Female,49,49,,,
Life expectancy at birth (years),Published,2012,Africa,High-income,Equatorial Guinea,Female,57,57,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Greece,Female,80,80,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Greece,Female,83,83,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Croatia,Female,76,76,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Ireland,Female,79,79,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Iceland,Female,82,82,,,
Life expectancy at birth (years),Published,2012,Western Pacific,High-income,Japan,Female,87,87,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Republic of Korea,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Western Pacific,High-income,Republic of Korea,Female,85,85,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,High-income,Kuwait,Female,74,74,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Malta,Female,80,80,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Netherlands,Female,81,81,,,
Life expectancy at birth (years),Published,2012,Western Pacific,High-income,New Zealand,Female,84,84,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,High-income,Oman,Female,70,70,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,Oman,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Europe,High-income,Portugal,Female,78,78,,,
Life expectancy at birth (years),Published,2000,Western Pacific,High-income,Singapore,Female,81,81,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,San Marino,Female,85,85,,,
Life expectancy at birth (years),Published,2012,Europe,High-income,Andorra,Female,86,86,,,
Life expectancy at birth (years),Published,1990,Eastern Mediterranean,High-income,United Arab Emirates,Female,73,73,,,
Life expectancy at birth (years),Published,2012,Eastern Mediterranean,High-income,United Arab Emirates,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Americas,High-income,Antigua and Barbuda,Female,72,72,,,
Life expectancy at birth (years),Published,2000,Europe,High-income,Belgium,Female,81,81,,,
Life expectancy at birth (years),Published,2000,Eastern Mediterranean,High-income,Bahrain,Female,76,76,,,
Life expectancy at birth (years),Published,2012,Americas,High-income,Barbados,Female,81,81,,,
Life expectancy at birth (years),Published,1990,Western Pacific,High-income,Brunei Darussalam,Female,75,75,,,
Life expectancy at birth (years),Published,2012,Western Pacific,High-income,Brunei Darussalam,Female,78,78,,,
Life expectancy at birth (years),Published,1990,Americas,High-income,Canada,Female,81,81,,,
